# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.318308 0.484930 -0.806401 -0.115067 -0.513040 0.171553 -0.049232 | -1.410699 -1.960907 4.293393 1.555272 -2.192329 0.514280 -0.604968 2
0.721844 0.478216 -0.047379 0.498003 0.310247 0.184060 0.893837 | 4.872486 -0.576440 -5.257049 2.143698 -1.049931 0.886169 0.134230 3
0.466029 0.234472 -0.399620 0.753753 0.290835 0.246311 0.899474 | -5.337690 0.808026 -2.743775 2.732124 0.092466 1.258059 0.873429 3
0.822162 -0.148248 -0.456386 -0.306243 -0.492682 -0.498226 0.275610 | 0.945495 -1.499418 -0.230501 3.320549 1.234863 1.629948 1.612627 0
0.307816 -0.929889 -0.176927 0.096194 -0.298585 0.096962 0.727218 | -2.196097 -0.114951 2.282774 3.908975 2.377261 2.001838 2.351825 0
0.583398 0.403372 -0.385996 -0.589869 -0.134886 0.168906 0.278036 | 4.087088 1.269515 4.796048 -0.113935 3.519658 2.373727 3.091023 0
0.913478 0.055532 0.357427 0.186333 -0.139546 -0.208221 0.409169 | -3.766894 -1.037929 -4.754394 0.474490 4.662055 2.745617 3.830222 3
0.299620 -0.512921 -0.329892 0.733697 0.213068 0.081925 0.503107 | 2.516292 0.346538 -2.241120 1.062916 5.804453 3.117506 4.569420 0
0.596591 0.720132 -0.216986 0.280011 0.336413 -0.216932 -0.103152 | -0.625301 1.731004 0.272154 1.651342 -5.515666 -1.686249 5.308618 0
0.362761 -0.687937 -0.206315 -0.593786 -0.249104 0.414123 -0.050536 | 5.657884 -1.807077 2.785428 2.239768 -4.373269 -1.314360 6.047816 2
0.851099 0.370096 0.355123 0.112011 -0.040488 -0.227546 0.856360 | -5.730389 -0.422611 5.298702 2.828193 -3.230872 -0.942470 -5.735874 2
0.699390 -0.214401 0.154808 -0.664018 0.486206 0.172738 0.690896 | 0.552796 0.961856 -4.251739 3.416619 -2.088474 -0.570581 -4.996675 1
0.034712 0.679747 0.278928 -0.677450 -0.215150 0.081528 0.282236 | -2.588796 -1.345588 -1.738465 -0.029875 -0.946077 -0.198691 -4.257477 3
0.122283 0.715570 0.674438 -0.134681 -0.107896 -0.390515 0.237151 | 3.694389 0.038878 0.774809 0.558551 0.196320 0.173198 -3.518279 1
0.814146 0.258089 0.382457 0.352538 -0.000885 0.116126 0.793413 | -4.159593 1.423345 3.288083 1.146977 1.338717 0.545087 -2.779081 1
0.919761 0.121257 -0.005912 -0.373231 0.222174 0.041712 0.907924 | 2.123593 -0.884099 5.801357 1.735403 2.481115 0.916977 -2.039882 2
0.489006 0.251200 0.060587 -0.833128 0.305832 -0.494563 0.745389 | -1.018000 0.500367 -6.161828 2.323828 3.623512 1.288866 -1.300684 3
0.457783 -0.823870 0.149683 -0.298776 0.464246 -0.510687 0.063346 | 5.265185 1.884834 -3.648553 2.912254 4.765909 1.660756 -0.561486 0
0.590497 -0.342643 0.573315 -0.453011 -0.168665 -0.619904 0.155112 | -4.944991 -1.653248 -1.135279 3.500680 5.908307 2.032645 0.177713 3
0.862960 0.449011 0.179754 -0.146215 -0.099040 -0.046054 0.218991 | 1.338195 -0.268781 1.377995 0.054186 -5.411812 2.404535 0.916911 2
0.493624 0.631382 0.399141 -0.445397 -0.291477 0.012630 0.480599 | -1.803398 1.115686 3.891269 0.642612 -4.269415 2.776424 1.656109 2
